Path	Description	Genes
Hair Follicle Development: Organogenesis - Part 2 of 3	The hair follicle (HF) is the biological unit responsible for producing a single hair shaft. The follicles are arranged with concentric epithelial progenitor layers surrounding the dermal core, which is the dermal papilla (DP). Classically, the development of the follicle itself can be divided into three stages: [https://www.wikipathways.org/index.php/Pathway:WP2804 Induction], Organogenesis and [https://www.wikipathways.org/index.php/Pathway:WP2840 Cytodifferentiation].Hair follicle development is a process dependent on epithelial-mesenchymal transitions orchestrated by many signaling pathways. Here we find one of three complex regulatory pathways assembled from a text mining approach portraying the development of this key mammal-specific structure.	FOXI3,B-catenin,TP63,RUNX2,CDH1,Activin A,GJB6
Ferroptosis	Ferroptosis is a type of programmed cell death which is distinct from apoptosis and necrosis, since cell death occurs due to failure of the glutathione-dependent antioxidant defenses in regulating iron. Reactive oxygen species (ROS) are produced from accumulated iron and lipid peroxidation (regulated by GrX4 and 15-LO).Ferroptosis is important in several physiological and pathological processes, including cancer cell death, mitochondrial dysfunction induced epilepsy and neurodegenerative disease. Ferroptosis can be induced to treat multiple forms of cancer by inhibiting tumor growth, although the exact mechanism is unknown. Ferroptosis has also been linked to neurodegenerative disease, possibly through increased inflammation caused by release of lipid metabolitesDescription adapted from [https://www.genome.jp/dbget-bin/www_bget?pathway+hsa04216 KEGG] and [https://en.wikipedia.org/wiki/Ferroptosis Wikipedia].	FTMT,NCOA4,GCLM,MAP1LC3A,LPCAT3,VDAC2,VDAC3,PCBP2,ACSL6,SLC11A2,GSS,SLC7A11,SLC40A1,ACSL3,ATG7,ATG5,SLC39A8,TP53,STEAP3,SAT1,PRNP,FTH1,ACSL1,MAP1LC3B,ACSL5,TF,ALOX15,HMOX1,MAP1LC3C,PCBP1,FTL,SLC3A2,CYBB,GCLC,TFRC,CP,ACSL4,SAT2,SLC39A14,GPX4
DNA Damage Response (only ATM dependent)	This is one of two pathways that deal with DNA damage. It has two central gene products (ATM and TP53) which are connected with the [[Pathway:WP707|other DNA damage response pathway]]In this pathway there is only one source of DNA damage induction, since most DNA damage induction sources and their involvement are mentioned in the [[Pathway:WP707|first DNA damage response pathway]]If it is not mentioned differently, the processes take place in the cell cytoplasmThe purpose of this pathway is to report more gene products and cell condition changes through the DNA damage response pathway and at the same time keep them clearly arranged.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP710 CPTAC Assay Portal]	WNT5A,PPP2R5E,RAC2,BAD,TGFB,DVL2,MAP3K4,CDKN1A,MAPK10,RAC3,WNT7B,SMAD4,TGFB1,BCL6,G6PC,PEPCK,ABL1,SOD2,JUN,DVL1,SMAD3,RAC1,c-Myc,MAPK8,HMGB1,CCND3,LEF1,BAK1,RBL2,TP73,FOXO3,ERBB2,WNT1,BCL2,PIK3R5,PIK3C2B,NRAS,PTEN,SHC1,PIK3CG,TCF-1,WNT11,DVL3,MYC,MAPK9,INSR,PIK3C3,LDLR,PIK3CD,PIK3CB,CCNG2,CCND1,GRB2,PPP2R5C,MAPK2,WNT3A,IRS1,BAX,TP53,BBC3,PIK3R3,HRAS,BIK,CDKN2A,WNT6,WNT10B,AKT3,WNT4,SOS1,WNT2,PMAIP1,WNT10A,AXIN1,AKT1,SCP2,WNT16,MDM2,RHOA,NFKB2,MLKL,FASLG,FRAT1,WNT5B,PIK3R2,CTNNB1,MAP3K1,MAP3K7,NFKB1,BCL2L11,AKT2,PIK3C2G,FOSL1,PLAU,CDKN1B,PIK3C2A,TCF-4,PDK1,WNT7A,ATM,PIK3CA,CDC42,SOS2,GSK3B,PIK3R1,KRAS,PIK3R4,CCND2,APC,TCF-3,WNT2B,CAT,WNT3
Signaling Pathways in Glioblastoma	The most frequently altered genes in glioblastoma. This pathway originally accompanied the 2008 Nature publication on the comprehensive genomic characterization of human glioblastoma genes and core pathways by TCGA, The Cancer Genome Atlas (see Bibliography).  Assembled from  literature and public pathway database resources, this representation can easily be kept up-to-date at WikiPathways.org.Sources: [http://cbio.mskcc.org/cancergenomics/gbm/pathways/GBM_pathway_20080708.pdf cBio Cancer Genomics Portal]Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2261 CPTAC Assay Portal]	FOXO4,PRKCI,MAP2K2,ERBB2,FOXO3,RB1,MAP2K6,PIK3CD,GAB1,PIK3CB,P16,E2F1,GRB2,CCND1,PTEN,PIK3C2B,CDK4,NRAS,BRAF,PIK3CG,FGFR2,ARF,TSC1,CDKN1A,CDK2,PRKCZ,PRKCQ,BRCA1,MDM4,CCNE1,CDKN2B,PDGFRB,PRKCD,MAP2K3,MSH6,EGFR,PDPK1,MAP2K4,MAP2K5,SRC,BRCA2,ATM,PLCG2,PIK3CA,NF1,EP300,PIK3R1,KRAS,AKT2,PRKCH,PIK3C2G,PLCG1,PIK3C2A,CDKN1B,PRKCA,PRKCG,CBL,PRKCB,SPRY2,TSC2,CCND2,AKT3,FOXO1,CDK6,IGF1R,RAF1,PDGFRA,FGFR1,IRS1,CDKN2C,MAPK3,MET,TP53,MAPK1,HRAS,ERBB3,MDM2,PIK3R2,ERRFI1,MAP2K7,MAP2K1,AKT1,ARAF
Ras Signaling	Ras proteins are small GTPases and are involved in transmitting signals within cells. In this way, Ras signaling controls many downstream processes, including cell proliferation, survival, growth, migration and differentiation. Ras proteins exists in two states, inactive while bound to GDP and active while bound to GTP. The exchange of GTP for GDP on RAS proteins is regulated by guanine nucleotide exchange factors (GEFs) and GTPase-activating proteins (GAPs). Activated RAS regulates cellular functions through a set of effector molecules, including Raf, phosphatidylinositol 3-kinase (PI3K) and Ral guanine nucleotide-dissociation stimulator (RALGDS).Mutations in Ras genes can lead to the production of permanently activated Ras proteins. Because these signals result in cell growth and division, overactive Ras signaling can ultimately lead to cancer. The 3 Ras genes in humans (HRas, KRas, and NRas) are the most common oncogenes in human cancer; mutations that permanently activate Ras are found in 20% to 25% of all human tumors and up to 90% in certain types of cancer. Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP4223 CPTAC Assay Portal]	RAB5B,RASA4B,PAK1,CALML6,RRAS,RELA,PIK3R2,MAP2K1,GNGT1,PLA1A,RIN1,IKBKB,FLT4,ETS1,PLA2G2A,CALM2,RASGRP1,MAPK3,MET,GNG3,PIK3R3,RASSF1,MAPK1,PLA2G4B,PLA2G2D,IGF1R,AKT3,LAT,IKBKG,SOS1,AFDN,RASAL1,GNB5,FGFR1,FLT1,RAF1,PDGFRA,GNG2,RGL2,RASAL2,ARF6,PRKCA,RAP1B,SHC4,PLA2G1B,AKT2,GNB2,BRAP,PLCG1,CALML3,GNGT2,GNG4,RASA2,FGFR4,PIK3CA,RASAL3,SOS2,TEK,PRKACA,PLA2G12B,PIK3R1,PLA2G4A,GNG10,CALML5,FGFR3,GRIN1,PLD1,EXOC2,MAPK8,BUB1B-PAK6,RASGRF1,CALM1,RASA4,GRIN2B,HTR7,KSR1,PLA2G5,NRAS,TTBK1,CHUK,ETS2,REL,RALB,PAK4,MAPK9,KDR,PIK3CD,ZAP70,PLA2G6,PAK5,GRB2,PAK6,PRKACG,RASA3,RRAS2,PLA2G10,GNB1,FLT3,MRAS,NTRK1,AKT1,PRKACB,RASGRP2,SYNGAP1,RHOA,KIT,PAK3,FASLG,GNG5,RALA,EPHA2,TIAM1,CALM3,HRAS,NTRK2,RASGRF2,GNB4,GNG12,PRKCB,JMJD7-PLA2G4B,PLA2G2F,PRKCG,RASSF5,SHC2,NFKB1,GAB2,RASGRP3,ABL2,NF1,PLCG2,CDC42,RASGRP4,PTPN11,RAP1A,RGL1,RASA1,PLA2G12A,GNG11,KRAS,RALBP1,RAPGEF5,ABL1,RALGDS,SHC3,PLA2G4D,PDGFRB,RAC1,PLA2G16,EGFR,KSR2,PLD2,GNB3,RAC2,PLA2G4C,BAD,GRIN2A,FGFR2,GNG13,PAK2,BCL2L1,PLA2G4E,MAPK10,RAC3,CALML4,SHC1,RAB5C,ELK1,PLA2G2E,INSR,RAB5A,PIK3CB,GAB1,NGFR,PLCE1,PLA2G3,PLA2G4F,PLA2G2C,MAP2K2,STK4,CSF1R,GNG7,SHOC2,FOXO4,GNG8
NAD metabolism, sirtuins and aging	A model for DNA damage, inflammation, NAD+, and agingTwo key events, the activation of PARP by DNA damage and the decreased NAMPT expression associated with inflammation, lead to decreased SIRT1 and SIRT3 activity in the nucleus and mitochondria, respectively. Decreased SIRT1 activity is associated with further PARP activation and increased DNA damage. Decreased SIRT1 also leads to NF-kB activation and decreased FOXO3a activity, two factors that lead to increased inflammation. These contribute to the establishment of two parallel feed-forward self reinforcing loops that further accelerate the aging process. This process is initiated earlier and faster in patients with DNA damage repair defects (such as CS, XPA, and AT). Mitochondrial function is diminished as a result of decreased SIRT3 activity, leading to mitochondrial protein hyperacetylation, whereas decreased SIRT1 is associated with decreased TFAM (necessary for mitochondrial DNA replication and transcription) and decreased PGC-1a (necessary for mitochondrial biogenesis). Possible therapeutic interventions to restore NAD+ levels are illustrated for each of the key enzymes (red arrows). Based on fig 4 from http://science.sciencemag.org/content/350/6265/1208.long.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3630 CPTAC Assay Portal]	FOXO3,HIF1A,SIRT3,SIRT1,ROS1,NFKB1,TFAM,PARP1,P7C3,TORC2,PGC-1a,PPARG,NAMPT,FOXO1
IL17 signaling pathway	Interleukin 17 is a family of cytokines that acts as potent mediators in delayed-type reactions by increasing chemokine production in various tissues to recruit monocytes and neutrophils to the site of inflammation, similar to Interferon gamma. IL-17 is produced by T-helper cells and is induced by IL-23 which results in destructive tissue damage in delayed-type reactions. Interleukin 17 as a family functions as proinflammatory cytokines that responds to the invasion of the immune system by extracellular pathogens. Interleukin 17 acts synergistically with tumor necrosis factor and interleukin-1Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2112 CPTAC Assay Portal]	TRAF3,IL25,MAP3K7,IKBKB,CEBPD,IL17RE,NFKB1,IL17RD,MAPK3,IL17A,IL17RA,IL17C,MAPK1,IL17D,JAK1,MAP3K14,IL17RB,IKBKG,TRAF6,GSK3B,AKT1,NFKBIB,IL17F,IL17B,CEBPB,JAK2,RELA,STAT3,IL17RC,TRAF3IP2,SP1
Nonalcoholic fatty liver disease	Nonalcoholic fatty liver disease (NAFLD) is a condition in which too much fat is stored in the liver. Nonalcoholic steatohepatitis (NASH) is a type of NAFLD marked by liver inflammation, which may progress to scarring and irreversible damage similar to that caused by heavy alcohol use. Components of glucose matabolism, insulin signaling, inflammation, oxidative stress, ER sgtress and apoptosis are all involved and interconnected in the progression of this disease.	UQCRQ,PIK3CB,INSR,IL1A,COX7A2L,MLXIPL,COX7B2,NDUFA6,ADIPOR1,CASP3,EIF2AK3,COX4I1,NDUFS5,CxII,UQCRC2,BID,TNFR1,NDUFB1,RAC1,SOCS3,NDUFA13,UQCR10,TGFB1,NDUFA8,CXCL8,NDUFB5,COX3,UQCRC1,NDUFA5,NDUFA11,COX6A1,BIM,NDUFB2,ADIPOQ,NDUFS8,PRKAA2,ERN1,MLX,CASP7,PRKAB2,MAP3K5,NDUFB8,CDC42,ADIPOR2,NDUFA4,COX6B1,NDUFB10,VCAM1,COX5B,NFKB1,NDUFA1,SDHB,SDHC,FASLG,COX1,LEP,COX7A1,NDUFB11,UQCRH,AKT1,CYCS,IL1B,COX8C,ATF4,NDUFB7,TRAF2,BAX,IRS1,COX2,JNK2,NDUFS1,DDIT3,PIK3CD,FXR,NDUFA7,CxIV,NDUFS7,CxI,COX7A2,XBP1,NDUFA12,Lipogenic Enzymes,GSK3A,NDUFA9,NDUFS4,PRKAG3,COX8A,MAP3K11,BAK1,PPARA,PRKAB1,PRKAG2,LEPR,NDUFB3,PRKAA1,JUN,NDUFAB1,NDUFV3,NDUFA2,RXRA,COX6B2,UQCRB,NDUFC2-KCTD14,COX4I2,MLXIP,IL6R,SDHD,JNK1,SREBF1,NDUFS6,EIF2S1,FAS,SDHA,IRS2,NDUFA3,NDUFV2,COX6C,NDUFS3,NDUFB6,NDUFC1,CCL2,NR1H3,PKLR,NDUFB9,NDUFC2,PIK3CA,CYC1,NDUFS2,GSK3B,PIK3R1,ITCH,CASP8,CYP2E1,NDUFA4L2,AKT2,COX6A2,COX7B,SMAD7,NDUFA10,CxIII,PIK3R2,RELA,CEBPA,CYTB,NDUFV1,UQCRHL,IL6,COX7C,PRKAG1,NDUFB4,INS,AKT3,UQCRFS1,BBC3,UQCR11,IKBKB,TNF,PIK3R3,COX5A
Pathways Regulating Hippo Signaling	Hippo signaling and the activation of YAP1/TAZ transcription is regulated by many other pathways (green labels) and factors. For example, the activation of SMAD and Beta catenin/TCF/LEF via TGF-beta signaling and WNT signaling pathways, respectively, enhanced the transcription of YAP1/TAZ target genes. This enhanced activity induces more aggressive  phenotypes of malignant mesothelioma cells such as cell proliferation, invasion, and epithelial–mesenchymal transition (EMT).	FGFR4,CDH9,PRKCH,CDH12,CDH20,PRKACA,TEK,CDC42,PRKAB2,TEAD4,CDH7,TEAD2,PRKCB,PRKAA2,CDH2,CDH18,CDH13,CDH6,PRKCA,PRKCG,CDH19,MET,FLT4,PRKCE,PDGFRA,FLT1,FGFR1,TCF7L2,NF2,SMAD2,PRKAG1,YY1AP1,PLCB3,NTRK2,PLCB2,CDH24,STK3,IGF1R,PRKACB,GNAI3,GNAI2,NTRK1,CTNNB1,PRKAR2B,PRKD3,EPHA2,CDH5,TCF7L1,KIT,RHOA,PRKCI,MTOR,PRKAB1,LEF1,CDH4,GNAS,LATS1,PRKAG3,FLT3,CDH8,PLCB1,CSF1R,PLCB4,PRKAR2A,CDH11,CDH1,PRKAR1B,CDH10,LATS2,PRKACG,MST1,NGFR,TCF7,KDR,INSR,CDH22,PRKCZ,TEAD3,PRKCQ,CDH15,TAZ,CDH17,FGFR2,CDH3,CDH16,GNAQ,PRKAR1A,TEAD1,EGFR,SMAD3,RAC1,GNA11,PRKAG2,PRKAA1,GNAL,PDGFRB,FGFR3,PRKCD
Differentiation Pathway	This pathway provides an overview of the directed differentiation molecules used to induce early and derivative cell lineages from human pluripotent stem cells. This overview differentiates between the three primary germ cell layers (ectoderm-outer layer, endoderm-inner layer, mesoderm-middle layer), which are formed in the earliest state of embryonic development and give rise to different tissue types. The initial version of this pathway is a direct adaptation of the SnapShot "Directed Differentiation of Pluripotent Stem Cells" pathway authored by Luis A. Williams, Brandi N. Davis-Dusenbery, and Kevin C. Eggan, HHMI, Harvard University, Cell 149, May 25, 2012 Elsevier Inc. DOI 10.1016/j.cell.2012.05.015. http://download.cell.com/pdf/PIIS0092867412005946.pdf. This adaptation was generated by Meenakshi Venkatasubramanian and Krithika Ramasamy Subramanian at Cincinnati Children's Hospital in the laboratory of Nathan Salomonis.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2848 CPTAC Assay Portal]	NTF4,KIT,LEFTY1,FGF1,TGFB1,ALK,TPO,WNT7B,IL6R,FGF10,IL6,FLT3LG,EGF,CXCR1,INS,TF,WNT2,IL3,TGFB3,WNT5A,BMP4,CSF1,WNT3A,SCF,CNTF,FGF2,EPO,WNT2B,NOTCH1,INHBA,IGF1,GDF5,NODAL,NOG,FGF8,FST,FGF4,CSF1R,WNT1,TNFSF11,VEGFA,HGF,NT5E,DKK1,SHH,PDGFA,PDGFB,IL11
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	This pathway is based on figure 1 from Merritt et al. (See Bibliography). The PI3K-AKT-mTOR signaling pathway has been shown to have a significant correlation with the development of castration-resistant prostate cancer. The signaling pathway regulates many cellular processes such as protein synthesis, proliferation, survival, metabolism, and differentiation, all factors that would increase a cancerous cell's ability to survive. Scientists have explored the use of various inhibitors for different parts of the signaling pathway, and have been faced with varying success.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3844 CPTAC Assay Portal]	TFEB,Receptor Tyrosine&#xA;Kinases,PIK3R3,GRB10,4EBP1&#xA;,HRAS,BAD,AKT,FOXO1,G Protein-coupled &#xA;Receptors,PIK3R2,RHEB,S6K1,FIP200,MTOR,FOXO3,PIK3CA,PDK1,eNOS,GSK3B,FOXO4,KRAS,PIK3R1,NRAS,PTEN,TSC2,ATG13,PIK3CG,RICTOR,ULK1,p27,PIK3CB,RAPTOR
SARS-CoV-2 and COVID-19 Pathway	Collaborative project for curation biological processes involved in the COVID-19 disease after SARS-Cov-2 infection. It focuses on experimental evidence and plays with improved annotation of complexes and with the Evidence and Conclusion Ontology. The complexes link to EBI's Complex Portal, resulting from a collaboration with that database at the recent online ELIXIR biohackathon. Editing this pathway is (at this moment) coordinated via the wikipathways.slack.com #sarscov2 channel. Additionally, please feel free to add suggestions to the discussion page (see the tab at the top of this page). The large viral Spike protein (S or surface glycoprotein) forms trimers. It interacts with the host's ACE2 receptor to establish binding (Hoffmann et al 2020). There are suggestions for more than one cell entry mechanism, with the evidence for ACE2/TMPRSS2 entry being most clear now. Lack of expression of TMPRSS2 may explain age differences in COVID19 severity. In this mechanism, to enter the virus needs to be primed by the host protease TMPRSS2 that splits the Spike protein into 2 peptides S1 and S2. S1 contains the ACE2 receptor binding site, S2 binds to the host cell membrane which leads to membrane fusion, the start of the uptake process. The ACE2 receptor interaction was also suggested as the start of specific lung-damaging effects. Other human genes that may be involved in alternative cell uptake mechanisms include CTSL and SLC6A19.	ORF7b,surface&#xA;glycoprotein,SLC6A19,orf1,ORF3a,ORF6,ORF7a,ORF10,ACAT,envelope&#xA;protein,membrane&#xA;glycoprotein,nucleocapsid&#xA;phosphoprotein,SCARB1,ORF8
